"ID","Arrest.fctr","Arrest.fctr.predict.MFO.myMFO_classfr.prob","Arrest.fctr.predict.MFO.myMFO_classfr","Arrest.fctr.predict.MFO.myMFO_classfr.accurate"
1310068,"F",0.081067179533053,"F",TRUE
1310725,"T",0.081067179533053,"F",FALSE
1311458,"T",0.081067179533053,"F",FALSE
1312438,"F",0.081067179533053,"F",TRUE
1312461,"T",0.081067179533053,"F",FALSE
1312561,"F",0.081067179533053,"F",TRUE
1312628,"F",0.081067179533053,"F",TRUE
1312756,"F",0.081067179533053,"F",TRUE
1312770,"F",0.081067179533053,"F",TRUE
1312979,"F",0.081067179533053,"F",TRUE
1313003,"F",0.081067179533053,"F",TRUE
1313191,"F",0.081067179533053,"F",TRUE
1313230,"F",0.081067179533053,"F",TRUE
1313456,"F",0.081067179533053,"F",TRUE
1313646,"F",0.081067179533053,"F",TRUE
1313727,"F",0.081067179533053,"F",TRUE
1313985,"T",0.081067179533053,"F",FALSE
1314584,"F",0.081067179533053,"F",TRUE
1314674,"F",0.081067179533053,"F",TRUE
1314679,"F",0.081067179533053,"F",TRUE
1314685,"F",0.081067179533053,"F",TRUE
1314738,"F",0.081067179533053,"F",TRUE
1315024,"F",0.081067179533053,"F",TRUE
1315108,"F",0.081067179533053,"F",TRUE
1315128,"F",0.081067179533053,"F",TRUE
1315265,"F",0.081067179533053,"F",TRUE
1315372,"F",0.081067179533053,"F",TRUE
1315804,"F",0.081067179533053,"F",TRUE
1316062,"F",0.081067179533053,"F",TRUE
1316285,"F",0.081067179533053,"F",TRUE
1316325,"F",0.081067179533053,"F",TRUE
1316407,"F",0.081067179533053,"F",TRUE
1316416,"F",0.081067179533053,"F",TRUE
1316417,"F",0.081067179533053,"F",TRUE
1316424,"T",0.081067179533053,"F",FALSE
1316427,"T",0.081067179533053,"F",FALSE
1316527,"F",0.081067179533053,"F",TRUE
1316531,"T",0.081067179533053,"F",FALSE
1316549,"F",0.081067179533053,"F",TRUE
1316594,"F",0.081067179533053,"F",TRUE
1316642,"F",0.081067179533053,"F",TRUE
1316676,"T",0.081067179533053,"F",FALSE
1316786,"F",0.081067179533053,"F",TRUE
1316848,"F",0.081067179533053,"F",TRUE
1316951,"F",0.081067179533053,"F",TRUE
1317026,"F",0.081067179533053,"F",TRUE
1317027,"F",0.081067179533053,"F",TRUE
1317093,"F",0.081067179533053,"F",TRUE
1317154,"F",0.081067179533053,"F",TRUE
1317272,"T",0.081067179533053,"F",FALSE
1317297,"T",0.081067179533053,"F",FALSE
1317411,"F",0.081067179533053,"F",TRUE
1317650,"F",0.081067179533053,"F",TRUE
1317683,"T",0.081067179533053,"F",FALSE
1317699,"T",0.081067179533053,"F",FALSE
1317994,"F",0.081067179533053,"F",TRUE
1318178,"F",0.081067179533053,"F",TRUE
1318193,"T",0.081067179533053,"F",FALSE
1318257,"F",0.081067179533053,"F",TRUE
1318259,"F",0.081067179533053,"F",TRUE
1318299,"F",0.081067179533053,"F",TRUE
1318405,"F",0.081067179533053,"F",TRUE
1318486,"F",0.081067179533053,"F",TRUE
1318511,"F",0.081067179533053,"F",TRUE
1318533,"F",0.081067179533053,"F",TRUE
1318853,"F",0.081067179533053,"F",TRUE
1318885,"F",0.081067179533053,"F",TRUE
1318904,"T",0.081067179533053,"F",FALSE
1319147,"F",0.081067179533053,"F",TRUE
1319157,"F",0.081067179533053,"F",TRUE
1319363,"F",0.081067179533053,"F",TRUE
1319372,"F",0.081067179533053,"F",TRUE
1319421,"F",0.081067179533053,"F",TRUE
1319479,"F",0.081067179533053,"F",TRUE
1319514,"F",0.081067179533053,"F",TRUE
1319646,"F",0.081067179533053,"F",TRUE
1319694,"F",0.081067179533053,"F",TRUE
1319818,"F",0.081067179533053,"F",TRUE
1319920,"F",0.081067179533053,"F",TRUE
1320064,"F",0.081067179533053,"F",TRUE
1320169,"T",0.081067179533053,"F",FALSE
1320321,"F",0.081067179533053,"F",TRUE
1320384,"F",0.081067179533053,"F",TRUE
1320407,"F",0.081067179533053,"F",TRUE
1320761,"F",0.081067179533053,"F",TRUE
1320772,"F",0.081067179533053,"F",TRUE
1320779,"F",0.081067179533053,"F",TRUE
1320825,"F",0.081067179533053,"F",TRUE
1320862,"F",0.081067179533053,"F",TRUE
1320913,"F",0.081067179533053,"F",TRUE
1321006,"F",0.081067179533053,"F",TRUE
1321181,"F",0.081067179533053,"F",TRUE
1321543,"F",0.081067179533053,"F",TRUE
1321551,"F",0.081067179533053,"F",TRUE
1321655,"F",0.081067179533053,"F",TRUE
1321777,"T",0.081067179533053,"F",FALSE
1321882,"T",0.081067179533053,"F",FALSE
1321912,"F",0.081067179533053,"F",TRUE
1322018,"F",0.081067179533053,"F",TRUE
1322073,"F",0.081067179533053,"F",TRUE
1322127,"F",0.081067179533053,"F",TRUE
1322350,"F",0.081067179533053,"F",TRUE
1322518,"F",0.081067179533053,"F",TRUE
1322567,"F",0.081067179533053,"F",TRUE
1322571,"F",0.081067179533053,"F",TRUE
1322597,"F",0.081067179533053,"F",TRUE
1322608,"F",0.081067179533053,"F",TRUE
1322739,"F",0.081067179533053,"F",TRUE
1323187,"F",0.081067179533053,"F",TRUE
1323467,"T",0.081067179533053,"F",FALSE
1323469,"F",0.081067179533053,"F",TRUE
1323567,"F",0.081067179533053,"F",TRUE
1323650,"F",0.081067179533053,"F",TRUE
1324115,"F",0.081067179533053,"F",TRUE
1324223,"F",0.081067179533053,"F",TRUE
1324369,"F",0.081067179533053,"F",TRUE
1324420,"F",0.081067179533053,"F",TRUE
1324512,"F",0.081067179533053,"F",TRUE
1324546,"F",0.081067179533053,"F",TRUE
1324582,"F",0.081067179533053,"F",TRUE
1324626,"F",0.081067179533053,"F",TRUE
1324754,"F",0.081067179533053,"F",TRUE
1324796,"F",0.081067179533053,"F",TRUE
1324921,"F",0.081067179533053,"F",TRUE
1326010,"F",0.081067179533053,"F",TRUE
1326060,"F",0.081067179533053,"F",TRUE
1326069,"T",0.081067179533053,"F",FALSE
1326157,"T",0.081067179533053,"F",FALSE
1326181,"F",0.081067179533053,"F",TRUE
1326190,"T",0.081067179533053,"F",FALSE
1326295,"F",0.081067179533053,"F",TRUE
1326380,"F",0.081067179533053,"F",TRUE
1326789,"F",0.081067179533053,"F",TRUE
1328126,"F",0.081067179533053,"F",TRUE
1328220,"T",0.081067179533053,"F",FALSE
1328255,"F",0.081067179533053,"F",TRUE
1328441,"F",0.081067179533053,"F",TRUE
1328620,"F",0.081067179533053,"F",TRUE
1329332,"F",0.081067179533053,"F",TRUE
1329425,"F",0.081067179533053,"F",TRUE
1329452,"F",0.081067179533053,"F",TRUE
1329495,"T",0.081067179533053,"F",FALSE
1329568,"F",0.081067179533053,"F",TRUE
1329595,"F",0.081067179533053,"F",TRUE
1329622,"F",0.081067179533053,"F",TRUE
1329625,"F",0.081067179533053,"F",TRUE
1329701,"F",0.081067179533053,"F",TRUE
1329801,"F",0.081067179533053,"F",TRUE
1329827,"F",0.081067179533053,"F",TRUE
1330086,"F",0.081067179533053,"F",TRUE
1330161,"F",0.081067179533053,"F",TRUE
1330669,"F",0.081067179533053,"F",TRUE
1330758,"F",0.081067179533053,"F",TRUE
1330842,"F",0.081067179533053,"F",TRUE
1330860,"F",0.081067179533053,"F",TRUE
1330899,"F",0.081067179533053,"F",TRUE
1331016,"F",0.081067179533053,"F",TRUE
1331114,"F",0.081067179533053,"F",TRUE
1331130,"F",0.081067179533053,"F",TRUE
1331147,"F",0.081067179533053,"F",TRUE
1331218,"F",0.081067179533053,"F",TRUE
1331331,"F",0.081067179533053,"F",TRUE
1331387,"F",0.081067179533053,"F",TRUE
1331413,"F",0.081067179533053,"F",TRUE
1331422,"F",0.081067179533053,"F",TRUE
1331466,"F",0.081067179533053,"F",TRUE
1331533,"F",0.081067179533053,"F",TRUE
1331666,"F",0.081067179533053,"F",TRUE
1331670,"F",0.081067179533053,"F",TRUE
1331708,"F",0.081067179533053,"F",TRUE
1331851,"T",0.081067179533053,"F",FALSE
1331855,"F",0.081067179533053,"F",TRUE
1331873,"F",0.081067179533053,"F",TRUE
1331879,"T",0.081067179533053,"F",FALSE
1331937,"F",0.081067179533053,"F",TRUE
1332061,"F",0.081067179533053,"F",TRUE
1332066,"F",0.081067179533053,"F",TRUE
1332091,"F",0.081067179533053,"F",TRUE
